"Topic","Words","Date","Market"
58,"delivery store buy order online book amazon price low eligible shopping everyday range selection product collect today isbn shop tesco",2018-11-15,"en-GB"
59,"centre city manchester garden medical street birmingham town glasgow york located west location leisure leeds shopping liverpool road edinburgh new",2018-11-15,"en-GB"
6,"property sale agent estate flat rent rightmove house bedroom search portal developer letting buy leading datadriven zoopla home primelocation largest",2018-11-15,"en-GB"
60,"light led lighting bulb lamp switch ceiling outdoor white battery wall color blue garden solar colour red night sensor fitting",2018-11-15,"en-GB"
61,"video instagram post photo follower youtube tweet channel family friend latest love share content upload queue subscribe sign hashtag camera",2018-11-15,"en-GB"
62,"world war country british history star life battle army largest soldier military germany german american fact state britain story france",2018-11-15,"en-GB"
63,"council planning housing local county application postcode borough district area information authority town parish city plan band east development benefit",2018-11-15,"en-GB"
64,"gift perfect birthday idea personalised present item box baby selection toy chocolate unique shipping voucher girl wedding set occasion hamper",2018-11-15,"en-GB"
65,"bbc radio live station listen iplayer channel programme presenter audio broadcast internet need television music series broadcasting online bitesize stream",2018-11-15,"en-GB"
66,"test driving vehicle speed theory testing quiz question driver blood licence check practice broadband drive result score sample dvla answer",2018-11-15,"en-GB"
67,"club golf course member training swimming pool gym fitness tee membership hole welcome rugby leisure golfer class bridge volkswagen green",2018-11-15,"en-GB"
68,"law court act legal work solicitor right case change pension regulation employee form state rule government firm police employer contract",2018-11-15,"en-GB"
69,"health mental safety social hospital medical wellbeing patient practice people care information risk work healthcare surgery public training assessment trust",2018-11-15,"en-GB"
7,"news latest breaking story headline sport tweet analysis update daily bbc newspaper video politics commentary newsnow article traffic world mail",2018-11-15,"en-GB"
70,"iphone apple phone mobile ipad samsung device galaxy app android screen sim case camera tablet battery apps mac ipod computer",2018-11-15,"en-GB"
71,"year old new calendar age month early ago life girl born week boy stage experience average end award national period",2018-11-15,"en-GB"
72,"john lewis advert elton partner sir order born piano shop delivery church waitrose range partnership star actor street martin electricals",2018-11-15,"en-GB"
73,"word letter document list text phrase scrabble spelling use template microsoft english page sentence language writing sound write pdf click",2018-11-15,"en-GB"
74,"best hair place price list compare guide way thing offer looking deal quote money review make help right just want",2018-11-15,"en-GB"
8,"company limited registered history address filing house annual information officer return account activity charge director office financial contact registration network",2018-11-15,"en-GB"
9,"care home nursing social residential dementia carehomecouk support patient people dental adult housing nurse inspection visit quality healthcare leading provider",2018-11-15,"en-GB"
0,"service customer support contact provide offer bus provider repair team help providing provides access financial client solution advice management specialist",2018-11-16,"en-GB"
1,"porn video sex xxx tube quality watch pornhubcom clip movie growing relevant high collection discover pornhub scene teen gay xhamster",2018-11-16,"en-GB"
10,"window microsoft update version app install setting click bit apps screen open server explorer desktop start key program fix change",2018-11-16,"en-GB"
11,"news latest breaking story sport video tweet headline analysis update daily newspaper bbc politics commentary traffic newsnow audio entertainment live",2018-11-16,"en-GB"
12,"house price sold average road property postcode checker tool exactly value rightmove information registry based land current street historic use",2018-11-16,"en-GB"
13,"number phone telephone calling called contact user area report digit plate read customer information landline searched registration rating received cost",2018-11-16,"en-GB"
